                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3414,                 1.4648,                0.87769,                0.70557,                0.45741,                0.51003,                0.29353,                 1.1664,                 1.0306,                0.84009,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.2935,                0.86453,                0.84703,                0.82363,                0.54817,                0.62603,                0.38307,                 1.0666,                0.81803,                0.83262,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2474,                0.79382,                0.83999,                0.79039,                0.62253,                0.68847,                 0.4499,                 1.0177,                 0.7449,                0.83155,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.1627,                 0.7391,                0.84337,                0.71208,                0.60828,                0.61797,                0.38993,                 1.0864,                 0.8834,                0.83886,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1973,                0.69516,                0.84496,                0.76049,                 0.6265,                0.69302,                0.44629,                0.96258,                0.60751,                0.83026,              0.0012129,              0.0012129,              0.0012129
                      6,                   1.12,                0.63194,                0.83234,                 0.8618,                0.68827,                0.75708,                0.47399,                 0.9565,                0.60515,                0.82711,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.0586,                0.60416,                0.82656,                0.87493,                0.66148,                0.76182,                0.49956,                0.91357,                 0.5424,                0.82486,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.0897,                0.59885,                0.82221,                0.88213,                0.64187,                0.74465,                0.46783,                 1.0291,                0.56601,                0.83001,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.0325,                0.57652,                0.82167,                0.79663,                0.73541,                0.77137,                0.51468,                0.87407,                0.50991,                0.81941,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.0736,                0.57019,                0.82159,                0.88156,                0.64603,                0.74174,                0.49498,                 1.0025,                0.52588,                0.82271,               0.001151,               0.001151,               0.001151
                     11,                 1.0485,                0.55014,                0.82073,                0.81768,                0.70941,                0.76656,                0.51117,                0.93391,                0.51528,                0.82741,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0454,                 0.5546,                0.82451,                0.92234,                0.67337,                0.76177,                0.52596,                 0.8964,                 0.5196,                0.82202,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.0329,                0.54711,                0.82015,                0.78685,                0.69655,                0.76191,                0.49799,                0.97629,                0.53101,                0.82567,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.0618,                0.56736,                0.81776,                0.89522,                0.66281,                0.74632,                0.50199,                0.91921,                0.51098,                0.82087,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.0401,                0.55653,                0.81811,                0.82362,                0.73894,                0.77545,                0.52295,                0.89272,                0.47748,                0.81966,              0.0010891,              0.0010891,              0.0010891
                     16,                 0.9899,                0.52479,                0.81766,                0.89635,                0.68423,                0.75978,                0.53293,                0.89667,                0.46329,                0.81686,              0.0010768,              0.0010768,              0.0010768
                     17,                0.98901,                0.52882,                0.81586,                0.86706,                 0.7074,                0.76672,                 0.5104,                0.96846,                0.50047,                0.82141,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0961,                0.57345,                 0.8184,                0.84073,                0.73207,                0.77673,                0.51899,                0.88152,                0.47858,                0.81856,               0.001052,               0.001052,               0.001052
                     19,                0.96664,                0.50933,                0.81509,                0.87486,                0.71009,                0.76389,                0.52687,                 0.8668,                0.50545,                0.81461,              0.0010396,              0.0010396,              0.0010396
                     20,                0.91613,                0.49546,                0.81254,                0.90995,                0.67933,                0.77172,                 0.5408,                0.82072,                0.45021,                0.81351,              0.0010273,              0.0010273,              0.0010273
                     21,                  0.958,                0.50257,                0.81266,                0.83355,                0.73465,                0.77242,                0.52518,                0.88199,                0.46271,                0.81402,              0.0010149,              0.0010149,              0.0010149
                     22,                 0.9332,                0.49173,                0.81173,                0.85734,                 0.7151,                0.77559,                0.53776,                0.83837,                 0.4565,                0.81599,              0.0010025,              0.0010025,              0.0010025
                     23,                0.90618,                0.47084,                0.80615,                0.82061,                0.75978,                0.79977,                0.55823,                0.80443,                0.44744,                0.81328,             0.00099013,             0.00099013,             0.00099013
                     24,                 0.9243,                0.47987,                0.80592,                0.94196,                0.72438,                0.80317,                0.55715,                0.79815,                0.43582,                0.81185,             0.00097775,             0.00097775,             0.00097775
                     25,                0.95298,                0.50364,                0.81296,                0.86391,                0.73964,                0.77024,                0.53244,                0.82506,                0.45867,                0.81217,             0.00096537,             0.00096537,             0.00096537
                     26,                0.90781,                0.47245,                0.80863,                0.86501,                0.73787,                0.79224,                0.54599,                0.86674,                0.46445,                0.81208,               0.000953,               0.000953,               0.000953
                     27,                0.91441,                0.47192,                0.80827,                0.90976,                0.75049,                0.82188,                0.55851,                0.81325,                0.42983,                0.81477,             0.00094062,             0.00094062,             0.00094062
                     28,                0.92181,                0.47302,                0.80823,                0.89736,                0.76395,                0.79989,                0.55684,                0.82793,                0.43445,                0.81095,             0.00092825,             0.00092825,             0.00092825
                     29,                0.91419,                0.46827,                0.80866,                0.85711,                0.71912,                 0.7832,                0.53412,                 0.8505,                0.45804,                0.81414,             0.00091588,             0.00091588,             0.00091588
                     30,                0.97176,                0.49415,                0.81477,                0.83272,                0.72806,                0.78257,                 0.5201,                0.91305,                0.47745,                0.82194,              0.0009035,              0.0009035,              0.0009035
                     31,                0.90641,                0.46682,                0.80798,                0.83621,                0.71909,                0.75818,                0.53493,                0.80546,                0.45252,                0.81071,             0.00089112,             0.00089112,             0.00089112
                     32,                 0.9025,                 0.4584,                0.80593,                0.89397,                0.71765,                0.79028,                0.55915,                0.80573,                0.42376,                0.81164,             0.00087875,             0.00087875,             0.00087875
                     33,                 0.9165,                0.46504,                0.80604,                0.88563,                0.70451,                0.79096,                0.55834,                0.82038,                0.43292,                0.81069,             0.00086637,             0.00086637,             0.00086637
                     34,                0.88824,                 0.4491,                0.80264,                0.87336,                0.73513,                0.79548,                0.57569,                0.79066,                0.41001,                0.80819,               0.000854,               0.000854,               0.000854
                     35,                0.86212,                0.44713,                0.80478,                0.90997,                0.72495,                0.80617,                0.55815,                0.84842,                0.43066,                0.81409,             0.00084162,             0.00084162,             0.00084162
                     36,                0.87252,                0.45423,                0.80275,                0.80276,                 0.7682,                0.78009,                0.55521,                0.80626,                0.43436,                0.81026,             0.00082925,             0.00082925,             0.00082925
                     37,                0.91576,                0.45956,                0.80722,                0.85091,                0.73786,                0.79173,                0.55389,                 0.8537,                0.45599,                0.81188,             0.00081688,             0.00081688,             0.00081688
                     38,                0.89837,                0.45046,                0.80629,                0.82827,                0.76257,                0.79953,                0.55634,                0.78193,                0.42883,                0.80878,              0.0008045,              0.0008045,              0.0008045
                     39,                0.89195,                 0.4429,                0.80424,                0.80508,                0.75483,                0.76497,                0.54862,                0.80502,                0.44116,                0.80938,             0.00079213,             0.00079213,             0.00079213
                     40,                0.85766,                0.43688,                0.80449,                0.93842,                0.71582,                0.79711,                0.56927,                0.79105,                 0.4234,                0.80934,             0.00077975,             0.00077975,             0.00077975
                     41,                0.87469,                0.44503,                0.80296,                0.90697,                0.73838,                0.80167,                0.56075,                0.82434,                 0.4286,                0.81311,             0.00076738,             0.00076738,             0.00076738
                     42,                 0.8465,                0.43282,                0.80072,                0.94095,                0.68318,                0.78902,                0.55755,                0.79197,                0.42567,                0.81006,               0.000755,               0.000755,               0.000755
                     43,                0.88099,                0.44404,                0.80345,                0.82458,                0.75417,                0.79213,                0.53644,                0.86505,                0.45918,                0.81696,             0.00074263,             0.00074263,             0.00074263
                     44,                0.86978,                0.44195,                0.80039,                0.81996,                0.76677,                0.79921,                0.57031,                0.78056,                  0.405,                0.80663,             0.00073025,             0.00073025,             0.00073025
                     45,                0.86303,                0.42975,                0.79882,                0.94357,                0.71934,                0.80824,                0.56833,                0.82442,                0.40883,                0.81086,             0.00071788,             0.00071788,             0.00071788
                     46,                  0.838,                0.42054,                0.79942,                0.85692,                 0.7396,                0.80966,                 0.5705,                0.77617,                0.41078,                0.80965,              0.0007055,              0.0007055,              0.0007055
                     47,                0.83641,                 0.4264,                0.80026,                0.88012,                0.76135,                0.81462,                0.58356,                0.75932,                0.39698,                0.81065,             0.00069313,             0.00069313,             0.00069313
                     48,                0.81507,                0.41462,                0.79731,                0.92333,                0.71215,                0.79048,                0.56912,                0.76612,                0.39965,                0.81044,             0.00068075,             0.00068075,             0.00068075
                     49,                0.81751,                0.42177,                0.79891,                0.86902,                0.77782,                0.81128,                0.55952,                0.79798,                0.41082,                0.81005,             0.00066838,             0.00066838,             0.00066838
                     50,                 0.8328,                0.42374,                0.79822,                0.89921,                0.74001,                 0.7824,                0.54025,                0.80595,                0.40723,                0.81192,               0.000656,               0.000656,               0.000656
                     51,                0.79791,                0.41264,                0.80154,                0.83623,                0.76271,                0.80346,                0.55974,                0.78337,                0.41208,                0.80802,             0.00064362,             0.00064362,             0.00064362
                     52,                0.82764,                0.42855,                0.80108,                0.89748,                0.68713,                0.77167,                0.54141,                0.79911,                0.42406,                0.81101,             0.00063125,             0.00063125,             0.00063125
                     53,                0.85441,                0.44482,                0.80111,                0.83908,                0.72509,                0.77592,                0.52231,                0.81848,                 0.4253,                0.81074,             0.00061887,             0.00061887,             0.00061887
                     54,                0.83006,                0.42903,                0.79998,                0.86185,                0.79669,                0.81641,                0.57936,                 0.7664,                 0.4005,                0.80718,              0.0006065,              0.0006065,              0.0006065
                     55,                0.81246,                0.41152,                0.79706,                0.90264,                0.72178,                0.80692,                0.57895,                0.78109,                0.40056,                0.80796,             0.00059413,             0.00059413,             0.00059413
                     56,                0.79714,                0.40281,                0.80061,                0.87329,                0.75591,                0.82334,                0.58987,                0.78112,                0.39902,                0.80919,             0.00058175,             0.00058175,             0.00058175
                     57,                0.81093,                0.40588,                0.79803,                0.88897,                0.72694,                0.79409,                0.57868,                0.77342,                 0.3993,                0.81014,             0.00056938,             0.00056938,             0.00056938
                     58,                0.84747,                0.41288,                0.80083,                0.95103,                0.72543,                0.82666,                0.56912,                0.87289,                0.42113,                0.81228,               0.000557,               0.000557,               0.000557
                     59,                0.82071,                0.40834,                0.79942,                0.94967,                0.69794,                0.80131,                0.57743,                 0.7904,                0.40285,                0.80644,             0.00054463,             0.00054463,             0.00054463
                     60,                0.81643,                0.40109,                0.79561,                0.91281,                0.73275,                0.80535,                0.57473,                0.77099,                0.39415,                0.81049,             0.00053225,             0.00053225,             0.00053225
                     61,                0.79934,                0.39946,                0.79873,                0.91579,                 0.7628,                0.81408,                 0.5785,                0.78382,                 0.3972,                0.80755,             0.00051988,             0.00051988,             0.00051988
                     62,                 0.8372,                0.41171,                0.79808,                0.93182,                0.76117,                0.81183,                0.57755,                0.77347,                0.39124,                0.80526,              0.0005075,              0.0005075,              0.0005075
                     63,                0.76881,                0.38362,                0.79632,                0.92853,                0.74526,                0.81221,                0.59437,                0.74807,                0.37698,                 0.8065,             0.00049513,             0.00049513,             0.00049513
                     64,                0.77455,                0.39247,                0.79369,                0.85986,                0.73731,                0.79882,                0.55966,                0.77231,                0.46088,                 0.8102,             0.00048275,             0.00048275,             0.00048275
                     65,                0.78836,                0.39524,                0.79393,                0.91463,                0.72311,                0.81025,                0.58098,                0.74508,                0.38116,                0.80726,             0.00047038,             0.00047038,             0.00047038
                     66,                0.79397,                0.39672,                0.79543,                0.91861,                0.75885,                0.81304,                0.56548,                 0.7878,                0.41565,                0.80888,               0.000458,               0.000458,               0.000458
                     67,                0.81066,                0.40516,                 0.7954,                0.96215,                0.70909,                0.79974,                0.56784,                0.76904,                 0.4124,                0.80704,             0.00044563,             0.00044563,             0.00044563
                     68,                0.81178,                0.40327,                 0.7947,                0.91174,                0.77658,                0.82433,                0.59988,                0.75683,                0.37977,                0.80611,             0.00043325,             0.00043325,             0.00043325
                     69,                0.82222,                0.40182,                0.79635,                  0.871,                0.76567,                0.82207,                0.57888,                0.79232,                0.38527,                0.80887,             0.00042087,             0.00042087,             0.00042087
                     70,                0.77718,                0.38362,                0.79337,                0.89704,                0.80019,                 0.8379,                0.59523,                0.77733,                0.38538,                0.81083,              0.0004085,              0.0004085,              0.0004085
                     71,                0.79326,                 0.3915,                0.79291,                0.91289,                0.75953,                 0.8222,                0.58054,                0.77662,                0.37638,                0.80916,             0.00039613,             0.00039613,             0.00039613
                     72,                0.76933,                0.37988,                0.79216,                0.93666,                0.77996,                0.83591,                0.60514,                0.75418,                0.36954,                0.80665,             0.00038375,             0.00038375,             0.00038375
                     73,                0.75834,                0.37944,                0.79191,                0.94071,                0.72786,                0.81977,                0.58952,                0.75536,                0.37846,                0.80718,             0.00037138,             0.00037138,             0.00037138
                     74,                0.76609,                0.38305,                0.79418,                0.92207,                0.76906,                0.81083,                0.58734,                0.77315,                0.38774,                0.81004,               0.000359,               0.000359,               0.000359
                     75,                0.77501,                0.37965,                 0.7917,                0.92712,                0.72646,                0.82878,                 0.5891,                 0.7824,                0.39207,                 0.8066,             0.00034663,             0.00034663,             0.00034663
                     76,                0.75548,                0.37465,                0.79217,                0.92445,                0.72443,                0.80454,                0.57547,                0.74923,                0.39078,                0.80702,             0.00033425,             0.00033425,             0.00033425
                     77,                0.75167,                0.37226,                0.79039,                  0.902,                0.76794,                0.82864,                0.60023,                0.74226,                0.37485,                0.80663,             0.00032188,             0.00032188,             0.00032188
                     78,                0.75931,                0.37517,                0.79069,                0.90491,                0.71318,                0.80814,                 0.5836,                0.76103,                 0.3847,                0.80788,              0.0003095,              0.0003095,              0.0003095
                     79,                0.74878,                0.36986,                0.79434,                0.91339,                0.76568,                0.82533,                0.59363,                 0.7556,                0.38065,                0.80731,             0.00029713,             0.00029713,             0.00029713
                     80,                0.73124,                 0.3665,                0.79162,                0.92752,                0.73988,                0.81489,                0.59436,                0.74729,                0.38241,                0.80575,             0.00028475,             0.00028475,             0.00028475
                     81,                0.73869,                0.36593,                   0.79,                0.88336,                0.73119,                 0.8014,                0.58064,                0.74767,                0.38452,                0.80486,             0.00027237,             0.00027237,             0.00027237
                     82,                0.74281,                0.36747,                0.79104,                0.92449,                0.73495,                0.82041,                 0.5887,                0.75318,                0.38363,                0.80689,                0.00026,                0.00026,                0.00026
                     83,                0.73917,                0.36387,                0.78784,                0.87677,                0.74656,                0.82136,                 0.5964,                0.75492,                0.38159,                0.80739,             0.00024762,             0.00024762,             0.00024762
                     84,                  0.739,                0.36308,                 0.7885,                0.91621,                0.73216,                0.82669,                0.60184,                0.72955,                0.36921,                0.80481,             0.00023525,             0.00023525,             0.00023525
                     85,                0.74728,                0.36498,                0.78818,                0.93526,                0.72002,                0.81413,                0.58612,                0.76997,                0.37684,                0.80707,             0.00022288,             0.00022288,             0.00022288
                     86,                 0.7191,                0.35619,                0.78819,                0.91754,                0.73729,                0.81754,                0.59862,                0.74348,                0.37646,                0.80582,              0.0002105,              0.0002105,              0.0002105
                     87,                0.72732,                0.35664,                0.79009,                0.92678,                0.75643,                0.81995,                0.60249,                0.74299,                0.37775,                0.80644,             0.00019813,             0.00019813,             0.00019813
                     88,                0.72904,                0.36024,                 0.7863,                 0.9306,                0.72493,                 0.8075,                0.57523,                0.74495,                0.37734,                0.80619,             0.00018575,             0.00018575,             0.00018575
                     89,                  0.728,                 0.3594,                0.79033,                0.94053,                0.72476,                0.82351,                0.59456,                0.74497,                0.37312,                0.80515,             0.00017338,             0.00017338,             0.00017338
                     90,                 0.7271,                0.35407,                 0.7877,                0.92913,                0.73727,                0.82187,                 0.5971,                0.73987,                 0.3653,                0.80483,               0.000161,               0.000161,               0.000161
                     91,                0.65085,                0.33441,                0.78716,                0.91999,                  0.732,                0.81545,                0.58084,                0.75526,                0.37567,                0.80625,             0.00014862,             0.00014862,             0.00014862
                     92,                0.63644,                0.32927,                0.78552,                0.93261,                0.73304,                0.81733,                0.58744,                0.74188,                0.37476,                0.80431,             0.00013625,             0.00013625,             0.00013625
                     93,                0.63815,                0.32613,                  0.787,                0.96468,                0.73886,                0.82206,                0.60515,                0.74231,                 0.3693,                0.80548,             0.00012387,             0.00012387,             0.00012387
                     94,                0.62726,                0.32522,                0.78636,                0.94659,                0.72132,                0.81126,                 0.5968,                 0.7436,                0.37219,                0.80647,              0.0001115,              0.0001115,              0.0001115
                     95,                0.62794,                0.32526,                0.78635,                0.90371,                0.75671,                0.81876,                0.60096,                0.74836,                0.37392,                0.80661,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.63393,                0.32498,                0.78751,                 0.9437,                0.72441,                 0.8201,                0.59516,                0.74348,                0.37174,                 0.8062,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.62118,                0.31788,                0.78598,                0.92396,                0.74442,                0.82253,                0.59917,                0.75154,                0.36966,                0.80617,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.61582,                0.31765,                0.78554,                0.91913,                0.75408,                 0.8212,                0.60055,                0.73973,                 0.3639,                0.80587,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.61317,                0.31481,                0.78588,                0.91515,                0.76075,                0.82413,                0.60172,                0.74455,                0.36548,                0.80498,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.60809,                0.31418,                0.78555,                0.92067,                0.76128,                0.82563,                0.60053,                0.74696,                0.36532,                0.80575,              3.725e-05,              3.725e-05,              3.725e-05
